split,image,most_similar_train_image,similarity
test,gss2102_jpg.rf.95a910990ad827c84375c0cad8a5331e.jpg,gss2103_jpg.rf.664bf4e076c0c366e8a7f1233ef73554.jpg,0.9987
test,gss1226_jpg.rf.f5455e7e0a59ad8b2a62a9b760f01e66.jpg,gss1225_jpg.rf.495b237debb3f4d35d03e2890597ab20.jpg,0.9987
test,gss374_jpg.rf.00d6aa4f71cf4609aa5d2161a04dc5c4.jpg,gss373_jpg.rf.4da9965b67306e9d4eeb47435d62424f.jpg,0.9985
test,gss1961_jpg.rf.c021ff027121e43d1b230619f6bb83d7.jpg,gss1960_jpg.rf.2c132950dd7a0ab63e9acaecee22806a.jpg,0.9984
test,gss1228_jpg.rf.229175f62f3eb3e014fb9944b5b9d529.jpg,gss1227_jpg.rf.b20a219ff4027862aca11d57c192a3b4.jpg,0.9982
test,gss937_jpg.rf.04cd51483a023d04d4d7deba298e8c63.jpg,gss938_jpg.rf.22aab256dadd297c9b44e367dac6eced.jpg,0.9980
test,gss1215_jpg.rf.971ad07f4778af25741f6f700fb30fc6.jpg,gss1216_jpg.rf.e8efe8c11e1da1be664ccc74e545009e.jpg,0.9980
test,gss1222_jpg.rf.0052a3c04f080aa51618acb6b3846d87.jpg,gss1221_jpg.rf.8383eeb3b386fafb767dc5b817f9eab7.jpg,0.9979
test,gss1203_jpg.rf.601aad17a7bd8ca25349ab9ab1ccc68f.jpg,gss1204_jpg.rf.f8f5a8873b58eb9f480b0cb5e5a2c37b.jpg,0.9978
test,gss2090_jpg.rf.5f7b083c20e5786e2029edbfbabfdc68.jpg,gss2091_jpg.rf.bedce6fc3466c270d38f231f937abcc7.jpg,0.9978
test,gss1937_jpg.rf.86dec90f6b2a199883ef32be8c14d6eb.jpg,gss1936_jpg.rf.edef2381a81c54633867265ebf366fe3.jpg,0.9977
test,gss557_jpg.rf.d6df04ce2a031e4e3bb158ff781da717.jpg,gss558_jpg.rf.b54dc79fb0324468e1dc04fbc8bfcf60.jpg,0.9977
test,gss2060_jpg.rf.e4a6ef21583c4e5d2fdd40f40390e502.jpg,gss2061_jpg.rf.144e9aba4d76ea4d471483599870dae2.jpg,0.9974
test,gss2101_jpg.rf.0dc88e124933bf8190eb603edd1ca81c.jpg,gss2103_jpg.rf.664bf4e076c0c366e8a7f1233ef73554.jpg,0.9973
test,gss1110_jpg.rf.3c77e6f04542c493fdd99039ff782f52.jpg,gss1111_jpg.rf.25eea882d29f6f65a87b1db43fe45309.jpg,0.9973
test,gss123_jpg.rf.a43e6debc1e90be1907317f76b0aeb69.jpg,gss122_jpg.rf.90fb6460ecc8ff6655f4fdd039f84825.jpg,0.9956
test,gss1905_jpg.rf.e89c2e256cf984149989a018001418d5.jpg,gss1904_jpg.rf.9e21732bca4c78c16cddac2b7b84fef5.jpg,0.9955
test,gss2086_jpg.rf.af45f7fee824c626c59d91a60ad23d34.jpg,gss2087_jpg.rf.326167484e680959be0161112f9c3981.jpg,0.9954
test,gss758_jpg.rf.ce1dc350bab4df9ee619b8f977fd893e.jpg,gss759_jpg.rf.6f6a84b00c19c82b58003612a8751763.jpg,0.9944
